x,y,z
1.554832,-4.970469,561.933406
-4.184109,0.534390,175.186838
3.505112,1.748293,8.755407
1.970221,2.412307,22.781276
2.487687,1.493484,19.946029
3.790612,-1.729131,6.619919
2.080634,-3.041928,121.511849
-3.906530,4.765469,223.844155
4.919491,0.998009,203.155678
-0.572664,3.652675,84.729342
3.089593,4.637678,313.882399
4.787418,0.554977,162.014606
-0.042529,0.266561,169.254183
2.139342,2.608069,15.551901
4.481130,2.198364,135.775052
1.536177,-3.254796,171.614018
-3.097973,-1.781577,62.702664
-0.284553,0.287953,158.388270
-4.156604,-0.491540,145.074371
0.830859,-1.351245,156.721854
-0.692838,2.900925,51.795826
0.124077,3.827414,110.804994
-4.424342,3.954124,176.427384
4.051267,0.396607,46.143688
-2.788208,-4.378418,135.483843
2.244638,-1.827736,62.089225
-2.563136,-4.506263,196.538921
-0.210116,-2.229008,174.556097
3.324089,-0.139305,13.543919
-0.993435,3.464347,62.448933
-4.679907,-0.260225,249.938814
-3.176758,0.604186,88.679112
-4.486237,2.449894,164.334535
-3.183092,-1.189090,71.810920
3.340325,-1.513323,4.653069
-0.827519,-2.382725,166.638638
0.206895,-1.456010,165.592798
-1.543985,-0.124184,150.574338
0.157886,3.397683,81.021009
-0.763439,1.518771,114.207068
1.182009,1.633764,70.445572
3.752208,0.180159,17.801689
2.991503,-1.148117,26.070161
-0.971721,1.311180,116.177956
-4.524100,-4.360233,75.693428
0.960172,3.868649,119.672256
2.309063,-1.288524,46.817418
-1.544899,4.855487,236.590161
-1.702003,4.605327,169.509744
-1.082194,3.805937,83.330488
-1.553531,-4.120581,219.551906
-2.612572,1.413394,64.849785
-3.556343,-4.442856,93.964383
1.963478,0.966698,62.023038
3.598782,2.972071,44.832288
0.811837,-1.003376,156.406209
-4.017981,-2.067544,54.726290
1.347133,4.889842,354.051078
2.289719,4.197264,167.366852
4.176840,2.162294,71.840014
2.087207,-3.284464,132.001540
1.741888,-2.525898,117.649341
-1.881465,3.386308,22.084742
4.298715,4.396115,415.787636
3.138093,0.081100,15.336986
0.915912,2.245999,73.134026
-1.457615,-2.398172,133.243328
-1.009495,-0.456592,173.062333
-1.244119,0.489407,144.541211
2.354866,-0.704603,52.519084
-4.692219,-2.511188,108.827036
1.421794,-0.423096,113.359611
1.673353,-1.095260,95.300983
3.864133,-2.562596,14.007622
3.034189,3.304710,47.792619
-0.956764,4.245654,140.723211
4.209154,2.012550,74.499710
0.239706,1.852317,95.958224
2.959747,3.893534,128.527108
3.285973,4.188275,216.809415
-1.221347,4.475829,156.155066
4.046941,-4.824537,426.847801
3.346239,-4.895729,438.043928
3.947715,0.474268,31.291929
3.093160,3.980616,143.545401
-4.673329,-2.067008,129.504163
0.562615,-4.995412,580.179613
0.114100,1.962842,86.693937
2.464927,2.419654,1.824022
-3.237396,4.338050,92.318777
0.447428,4.660419,267.231709
3.604319,-0.423392,13.998844
2.000044,2.512078,29.546113
2.341533,2.592089,11.167923
1.967123,-2.338463,100.568515
0.023390,-1.834113,177.025849
3.144765,4.718703,348.630048
-2.570760,2.771078,13.278685
-0.887227,-2.932660,166.574622
0.991787,4.208323,170.395220
4.603727,4.189973,443.340172
-3.681705,-4.878359,180.142450
4.937027,0.368112,194.580466
-0.955780,2.756361,42.305455
1.470947,-0.597345,110.756876
-2.919469,-4.773891,215.884961
-2.455747,-1.513834,91.786800
-4.671785,-4.985683,197.778370
-0.546554,-0.799367,177.623063
1.456790,-2.610371,139.471616
2.506557,-4.359584,288.248694
-4.412650,-4.463550,83.287513
4.829737,-1.005437,128.019819
-0.830472,2.929464,50.696038
2.810971,4.974825,425.677028
-0.910328,0.834816,136.231145
3.407570,-0.255307,13.943375
0.761884,-1.996282,157.556769
0.090920,-2.505144,178.632686
-3.141646,-1.647493,65.931035
-1.370011,1.635237,89.057754
2.544681,0.504675,33.091262
0.996845,3.757141,107.988113
3.196987,0.822026,6.734619
4.042865,0.881466,42.207693
3.624941,-3.326692,52.504472
4.897325,1.805162,217.879499
-4.371688,4.681435,279.245305
1.813092,4.615113,280.619280
0.521304,-3.499508,236.329837
4.375402,-3.951286,181.563029
-1.619648,-4.346263,270.000998
-1.588488,-0.858539,143.343622
2.994208,4.800153,361.457115
-0.476133,-4.954423,539.595914
3.390942,2.252907,9.025725
-3.608367,-2.747676,17.826911
-4.624477,-2.604825,86.099313
-4.782289,-4.661950,148.526863
0.779888,1.219906,104.902321
-4.580033,3.880840,209.227108
2.260584,-4.821996,452.177815
-0.160999,-2.996123,197.539309
1.015149,4.677578,276.997839
-3.258144,0.044255,110.401203
-0.609241,2.642487,61.002693
-1.273984,-0.158062,159.755246
0.560615,-0.551657,156.108405
-3.806428,-4.007834,31.166953
